scene,time_range,lyric_part,visual_description,image_prompt,video_prompt,camera_motion,subtitle_style,emotion,negative_prompt
1,00:00-00:10,เดินสวนกันไปมา... ท่ามกลางผู้คนนับพัน ในเมืองที่แสนวุ่นวาย... และเร่งรีบ,"Vela Moon walks through a busy city street, head slightly down, blending into the blurred background of rushing people and traffic. The camera is a steady follow shot from behind or slightly to her side, emphasizing her isolation amidst the crowd.","Cinematic shot of a young woman, mid-20s, with wavy dark brown hair and a camel trench coat, walking through a bustling metropolitan street at daytime. Her head is slightly bowed, expression neutral, lost in thought. A sea of blurred, fast-moving people and cars surrounds her. Shot with a wide-angle lens (24mm), slightly elevated angle, natural diffused city light. Moody, realistic, urban.","A young woman, mid-20s, with wavy dark brown hair and a camel trench coat, walks at a normal pace through a crowded city sidewalk. The background people and cars are moving quickly, blurring into streaks. Camera slowly tracks backward, maintaining focus on her. Her head remains slightly down. Atmosphere is chaotic, but she moves calmly through it. Approx. 10 seconds.","Slow, steady backward track (dolly out) from a low angle, following Vela Moon.","Clean white text, bottom center, semi-transparent black background.","Indifference, monotony, feeling lost in the crowd.","bad anatomy, deformed hands, extra fingers, blurry face, inconsistent character, low quality, watermark, text artifacts, cartoonish, oversaturated"
2,00:10-00:20,ก้มหน้ามองทางเดิน... ไม่เคยสนใจใคร ชีวิตก็เหมือนเดิม... ในทุกๆ นาที,"Close-up on Vela Moon's face as she walks, still looking down. Her eyes might flick up briefly, but quickly return to the ground. The background is slightly out of focus, showing glimpses of movement but no clear details.","Tight close-up cinematic shot of a young woman, mid-20s, with wavy dark brown hair and a camel trench coat, looking down. Her expression is pensive, almost weary. Her eyes are partially visible, conveying deep thought. Shallow depth of field, blurred urban background. Shot with a prime lens (85mm), eye-level, natural soft overcast lighting. Realistic, introspective mood.","Tight close-up shot of a young woman, mid-20s, with wavy dark brown hair and a camel trench coat. Her eyes are cast downwards, but briefly, her gaze lifts just above the camera before returning to the ground. Subtle, almost imperceptible head bob with each step. Background remains softly blurred. Camera is static. Approx. 10 seconds.",Static close-up.,"Clean white text, bottom center, semi-transparent black background.","Preoccupation, internal focus, a sense of routine.","bad anatomy, deformed hands, extra fingers, blurry face, inconsistent character, low quality, watermark, text artifacts, cartoonish, oversaturated"
3,00:20-00:28,จนเสี้ยววินาที... ที่ฉันบังเอิญ เงยหน้าขึ้นมา...,"A very slow-motion shot of Vela Moon slowly lifting her head. Her eyes slowly open wider as if realizing something, the movement almost imperceptible. The city background is still moving normally, but her action is unnaturally drawn out.","Cinematic medium close-up of a young woman, mid-20s, with wavy dark brown hair and a camel trench coat, slowly lifting her head. Her eyes are just beginning to open, a flicker of curiosity appearing. Soft morning light catches her profile. Blurred city traffic in the background. Shot with a 50mm lens, slightly low angle. Dramatic, transitional moment.","A very slow-motion video (high frame rate) of a young woman, mid-20s, with wavy dark brown hair and a camel trench coat, lifting her head gradually. Her eyes slowly transition from looking down to looking straight ahead. The background city movement is at normal speed. Camera is a slow, subtle zoom-in. Approx. 8 seconds.","Slow, subtle zoom-in (push-in).","Clean white text, bottom center, semi-transparent black background.","Anticipation, a subtle shift from indifference.","bad anatomy, deformed hands, extra fingers, blurry face, inconsistent character, low quality, watermark, text artifacts, cartoonish, oversaturated"
4,00:28-00:35,...สบตากับคู่ดวงตานั้น...,"POV shot from Vela Moon's perspective. We see her line of sight, which lands on another person (back of head, or slightly obscured face to maintain mystery) standing still in the distance amidst the moving crowd. The focus is sharp on this person, blurring everything else.","First-person POV cinematic shot looking down a busy city street. Focus is sharply on the back of a person's head or a slightly obscured figure in the mid-distance. The surrounding city traffic and pedestrians are heavily blurred, creating a tunnel vision effect. Warm, soft light illuminates the distant figure. Shot with a long telephoto lens (200mm) to compress depth. Sense of immediate connection, mystery.","First-person POV shot from Vela Moon's eye level. The camera slowly pans and zooms slightly to fixate on a person standing in the distance amidst moving city traffic. The background is in motion but out of focus, while the target person is sharply focused. Subtle camera shake to indicate human perspective. Approx. 7 seconds.",Slow pan and subtle zoom.,"Clean white text, bottom center, semi-transparent black background.","Sudden realization, direct connection, focus.","bad anatomy, deformed hands, extra fingers, blurry face, inconsistent character, low quality, watermark, text artifacts, cartoonish, oversaturated"
5,00:35-00:45,วินาทีที่โลก... เหมือนหยุดหมุนไป เหมือนมีใครมาปิดสวิตช์...,"Wide shot. Vela Moon is standing perfectly still, her gaze fixed. Around her, all the people and cars are completely frozen mid-action. A pigeon is frozen mid-flight. Dust motes are suspended in the air. The light might slightly shift to a warmer, softer glow.","Cinematic wide shot of a young woman, mid-20s, with wavy dark brown hair and a camel trench coat, standing still on a bustling city street. All surrounding people, cars, and even a flying pigeon are completely frozen in motion. Dust motes hang suspended in the air. The lighting shifts to a soft, magical golden hour glow. Shot with a 35mm lens, eye-level. Surreal, tranquil, breathtaking.","A wide shot showing a young woman, mid-20s, with wavy dark brown hair and a camel trench coat, standing absolutely still. All elements in the background – people, cars, objects – are frozen solid. The camera slowly pushes in towards her. Subtle shimmer effect on the frozen elements. Duration gives a sense of time stopping. Approx. 10 seconds.","Slow, steady push-in (dolly in).","Clean white text, bottom center, semi-transparent black background.","Awe, shock, disbelief, sudden calm.","bad anatomy, deformed hands, extra fingers, blurry face, inconsistent character, low quality, watermark, text artifacts, cartoonish, oversaturated"
6,00:45-00:55,ทุกความเคลื่อนไหวรอบกาย เสียงรถราที่ดัง... กลับเงียบงันลงทันใด,"Extreme close-up on Vela Moon's eyes. They are wide with wonder, reflecting the soft, warm light. Subtle tears might well up, or her pupils might slightly dilate. The world is reflected in her eyes as still images.","Extreme close-up cinematic shot of a young woman's eyes (Vela Moon, mid-20s, with naturally defined eyelashes and a thoughtful brow). Her eyes are wide with wonder and a hint of emotion, reflecting a blurred, frozen city scene. Soft, warm, ethereal light illuminates her face. Shot with a macro lens. Intense, emotional, mesmerizing.","Extreme close-up on a young woman's eyes (Vela Moon). Her eyes are wide and focused, showing a slight tremor of emotion. The camera is static, holding the intense gaze. A subtle, almost imperceptible tear might form at the corner of her eye. Approx. 10 seconds.",Static extreme close-up.,"Clean white text, bottom center, semi-transparent black background.","Pure focus, mesmerized, internal processing.","bad anatomy, deformed hands, extra fingers, blurry face, inconsistent character, low quality, watermark, text artifacts, cartoonish, oversaturated"
7,00:55-01:05,เหลือแค่ภาพเธอยืนชัดเจนอยู่ตรงหน้า... (Love at First Sight),"Over-the-shoulder shot from behind Vela Moon. We see the 'other person' clearly for the first time (still a silhouette or slightly obscured face, maintaining mystery) standing in the middle of the frozen chaos. Vela Moon reaches out a hand slightly, as if to confirm their reality.","Cinematic over-the-shoulder shot from behind a young woman (Vela Moon, mid-20s, with wavy dark brown hair and a camel trench coat). Her hand is slightly raised, reaching out. In front of her, the 'other person' is clearly visible (silhouette or partially obscured face) standing in a brightly lit, ethereal golden light. The surrounding city remains frozen and subtly blurred. Shot with a 50mm lens, medium height. Romantic, longing, surreal.","Over-the-shoulder shot of a young woman (Vela Moon) from behind. The 'other person' stands clearly in front, in a frozen city. Vela Moon's arm slowly extends forward, her fingers twitching slightly, as if reaching out to touch. The camera slowly arcs around her. Approx. 10 seconds.",Slow arc (orbital) shot around Vela Moon.,"Clean white text, bottom center, semi-transparent black background.","Deep connection, singular focus, dreamlike state.","bad anatomy, deformed hands, extra fingers, blurry face, inconsistent character, low quality, watermark, text artifacts, cartoonish, oversaturated"
8,01:05-01:15,หัวใจข้างใน... เต้นแรงจนแทบหลุดออกมา ขาที่เคยก้าวเดิน... กลับยืนแข็งทื่ออยู่อย่างนั้น,"Low angle shot, focusing on Vela Moon's feet and legs. Her body is rigid, but subtle vibrations or a slight tremor could be visible. The 'other person' is out of frame, implied. The frozen city elements are visible in the background, reinforcing the stillness.","Cinematic low-angle shot focusing on the lower body of a young woman (Vela Moon, mid-20s, wearing dark wash jeans and white sneakers, camel trench coat visible). Her legs are rigid, feet planted firmly on the sidewalk. Subtle, almost imperceptible vibration. Blurred, frozen city background. Soft, slightly diffused light. Shot with a 35mm lens. Grounded, intense internal feeling.","Low angle shot of a young woman's legs and feet (Vela Moon). Her legs are stiff, and there's a very subtle, almost trembling movement that suggests internal tension. The background shows frozen city life. Camera is static. Approx. 10 seconds.",Static low-angle shot.,"Clean white text, bottom center, semi-transparent black background.","Intense physical reaction, vulnerability, stillness.","bad anatomy, deformed hands, extra fingers, blurry face, inconsistent character, low quality, watermark, text artifacts, cartoonish, oversaturated"
9,01:15-01:25,ลืมแม้กระทั่งหายใจ... ไม่รู้ต้องทำยังไง ไม่อยากละสายตา... ไปจากเธอเลย,"Medium shot of Vela Moon, her expression a mix of awe and slight desperation. Her mouth is slightly agape, as if trying to catch her breath. Her gaze is unwavering, fixed on the 'other person' (who is now just out of frame or a soft bokeh in the background).","Cinematic medium shot of a young woman (Vela Moon, mid-20s, with wavy dark brown hair and a camel trench coat). Her expression is one of breathless wonder, eyes wide and fixed, mouth slightly parted. Soft, warm light illuminates her face. The background is a soft, dreamlike blur of the frozen city. Shot with a 85mm lens, slightly high angle. Vulnerable, captivated, emotional.","Medium shot of a young woman (Vela Moon). She is perfectly still, her mouth slightly open, eyes wide and unwavering. A very subtle, slow inhale and exhale that is almost missed. The camera slowly zooms out, revealing more of the frozen city around her. Approx. 10 seconds.","Slow, steady zoom-out (pull-out).","Clean white text, bottom center, semi-transparent black background.","Breathless wonder, intense desire to prolong the moment.","bad anatomy, deformed hands, extra fingers, blurry face, inconsistent character, low quality, watermark, text artifacts, cartoonish, oversaturated"
10,01:25-01:45,(Bridge to Outro) ไม่อยากให้เข็มนาฬิกาเดินต่อ อยากหยุดภาพนี้เอาไว้... นานๆ (Love at First Sight)... คือเธอใช่ไหม ที่ทำให้โลกของฉัน... หยุดหมุน,"Long, dreamlike shot. Vela Moon stands facing the 'other person' (still partially obscured). She slowly raises her hand, and this time, gently reaches out and touches the 'other person's' hand or shoulder. A ripple effect or subtle distortion in the frozen world around them might occur, indicating the moment might soon end or is a dream. The light is very soft, almost glowing.","Cinematic long shot of a young woman (Vela Moon, mid-20s, with wavy dark brown hair and a camel trench coat) standing facing another person (silhouette or soft focus). She is gently reaching out to touch their hand. The frozen city around them glows with a soft, ethereal light, slightly distorted at the edges, hinting at an imminent return to reality. Dreamlike, profound connection, poignant. Shot with a 50mm lens, slightly wide view.","Long, dreamlike shot. A young woman (Vela Moon) slowly raises her hand and gently touches the 'other person's' hand/shoulder. A subtle, soft ripple or 'melting' effect around the edges of the frozen background. The camera slowly pulls back and elevates, revealing the two figures as small amidst the vast, frozen city. The golden light intensifies slightly. Approx. 20 seconds.",Slow crane up and zoom out (pedestal up and pull-out).,"Clean white text, bottom center, semi-transparent black background.","Deep longing, acceptance of the magic, lingering enchantment.","bad anatomy, deformed hands, extra fingers, blurry face, inconsistent character, low quality, watermark, text artifacts, cartoonish, oversaturated"
